time[s],angle[deg],amplitude[mV]
384.50084159,172.789612,-0.306423
384.50118351,178.945801,-0.480503
384.50136382,182.192261,-0.406107
384.50146362,183.989197,-0.482473
384.50171996,188.604553,-0.286054
384.5017697,189.500122,-1.116264
384.50203071,194.199524,-0.350758
384.50226682,198.450684,-0.610268
384.50242681,201.331299,-0.463248
384.50259926,204.436218,-0.706834
384.50271247,206.474548,-0.176853
384.50335575,218.056702,-0.307504
384.50366704,223.661438,-0.75888
384.50453201,239.235107,-0.283263
384.91023821,338.952209,0.361265
384.91036376,341.212799,0.324195
384.91046113,342.965973,0.386184
384.91050173,343.696991,0.519225
384.91058418,345.181549,0.976094
384.91071193,347.48175,0.202781
384.91080351,349.130676,0.409
384.91087362,350.393036,0.555183
384.91094413,351.662598,0.882789
384.91106295,353.802002,0.295067
384.91107882,354.087769,0.697789
384.91121938,356.618591,0.774285
384.91144588,0.696808,0.407457
384.91145821,0.918823,1.309179
384.91158236,3.154205,1.43831
384.91175885,6.33197,0.504987
384.91178196,6.748077,0.683582
384.911825,7.523041,1.061616
384.91200685,10.797333,0.207165
384.91203038,11.220978,0.49839
384.91210686,12.598053,0.517632
384.91221228,14.496185,0.572453
384.91229755,16.031494,0.616301
384.91241203,18.092773,0.426037
384.9124534,18.837646,0.571291
384.9126365,22.13443,1.313043
384.91279215,24.936981,0.136789
384.912798,25.042297,0.550165
384.91296737,28.091888,0.335605
384.91302812,29.18573,0.371078
384.9131809,31.936584,0.625233
384.91340212,35.919739,0.978551
384.91362003,39.843292,0.433324
384.91384676,43.925659,0.482493
384.91434966,52.980591,0.105268
384.91449528,55.602539,0.416114
384.92053106,164.279297,-0.65721
384.92063562,166.161942,-0.482485
384.9207552,168.315033,-0.703546
384.92101702,173.029205,-0.207363
384.92116008,175.605072,-0.688818
384.92121687,176.627594,-0.734249
384.92145661,180.944214,-0.104431
384.92148596,181.472672,-0.364135
384.92161508,183.797531,-0.789806
384.92172568,185.78894,-0.465302
384.92183238,187.710114,-0.485899
384.9220231,191.144104,-0.195429
384.92204102,191.466766,-0.296149
384.92219898,194.310898,-0.241562
384.92224516,195.142395,-0.352326
384.92231542,196.407455,-1.044992
384.92247205,199.227631,-0.173567
384.92274498,204.141861,-0.688723
384.92290748,207.067734,-0.421331
384.92313587,211.179993,-0.306955
384.92341145,216.141922,-0.186825
384.92354887,218.616226,-0.114208
384.92405865,227.795044,-0.132037
384.92443568,234.583618,-0.19234
384.92470203,239.379364,-0.122131
384.93018028,338.017548,0.134972
384.9302892,339.978699,0.276512
384.93032042,340.540833,0.474711
384.93055258,344.720978,0.464842
384.93056888,345.014465,0.494208
384.93063726,346.245667,0.622877
384.93073647,348.031982,0.73211
384.93087467,350.520325,0.309963
384.93101452,353.038391,0.544536
384.93103535,353.413452,1.1785
384.93111393,354.828308,1.557455
384.93121518,356.651367,0.276298
384.93129877,358.156433,1.11083
384.93142482,0.426017,0.489408
384.93148491,1.507962,0.883123
384.93156515,2.952717,1.218421
384.93169877,5.358602,0.420982
384.93178136,6.845669,1.535578
384.93189366,8.867678,0.525185
384.93207976,12.218486,0.336915
384.9321764,13.958529,0.971944
384.93228122,15.845858,1.29009
384.93243691,18.649122,0.630654
384.93263403,22.198351,0.653342
384.9326348,22.212214,0.772435
384.93277452,24.727932,0.364742
384.93286397,26.338516,0.463648
384.93292963,27.520752,0.669428
384.93309106,30.427366,0.331908
384.93315253,31.534161,0.361347
384.9333111,34.389278,0.123501
384.93337547,35.548286,0.572155
384.93347758,37.386822,0.356901
384.9335514,38.715981,1.437132
384.9339438,45.781307,0.134265
384.9339589,46.053188,0.808772
384.93433431,52.812603,0.208719
384.93456871,57.033073,0.29596
384.94052395,164.259674,-0.118592
384.94055832,164.87851,-0.458569
384.94078327,168.928833,-0.2515
384.94089853,171.004135,-0.157442
384.94094363,171.816177,-0.605612
384.94106291,173.963867,-0.403824
384.94133695,178.898071,-0.553415
384.94143812,180.719681,-0.490357
384.94148222,181.513718,-1.025602
384.94172821,185.942871,-0.104979
384.94175865,186.490967,-0.326934
384.94188005,188.676819,-0.183562
384.94199851,190.809738,-0.318774
