time[s],angle[deg],amplitude[mV]
553.17816651,39.554199,5.477288
553.17824445,40.956787,68.958557
553.17843543,44.393585,114.87252
553.1786018,47.387543,37.478138
553.17867571,48.71759,15.36441
553.17875141,50.079865,0.638965
553.17881153,51.161774,131.761505
553.17900841,54.704773,1.368498
553.17901215,54.772064,13.798016
553.17905882,55.611938,11.660853
553.17908301,56.047241,14.705831
553.1793492,60.837524,114.65802
553.17949491,63.459656,4.318658
553.17979361,68.834961,2.373015
553.17989123,70.591705,120.516907
553.1805651,82.718475,66.773811
553.18576811,176.350174,-52.448032
553.18598285,180.214569,-75.061554
553.18605476,181.508636,-36.870182
553.18622318,184.539459,-44.699242
553.18629458,185.824356,-46.04739
553.18641707,188.028641,-64.034042
553.1865591,190.584579,-89.581596
553.18664447,192.120865,-12.195354
553.18672521,193.573837,-57.108997
553.18686276,196.049149,-109.768288
553.1870581,199.564423,-32.856213
553.18724241,202.88121,-4.690804
553.18728627,203.670502,-70.280174
553.18739622,205.649124,-109.76017
553.1875172,207.826233,-43.657593
553.18763993,210.034851,-30.22793
553.18773693,211.780426,-27.565338
553.18786472,214.080093,-41.798214
553.18799818,216.481796,-40.643116
553.18805911,217.578278,-49.805046
553.18831635,222.207489,-42.180382
553.18840187,223.746475,-3.853366
553.18851941,225.861694,-70.223289
553.18865207,228.248993,-2.63581
553.18871658,229.409897,-55.450588
553.1888975,232.66568,-111.623512
553.18899977,234.506104,-21.671595
553.18913958,237.022064,-12.835852
553.1893242,240.344437,-33.681286
553.18951068,243.700256,-29.05514
553.18960535,245.403915,-1.283168
553.18963727,245.978333,-36.336872
553.18976786,248.3284,-63.540989
553.18982018,249.269928,-0.204774
553.18996346,251.848358,-4.510616
553.19027148,257.391388,-92.562515
553.19086648,268.098816,-22.847536
553.19564003,354.002106,16.576584
553.19570738,355.214111,6.158499
553.19588275,358.369995,56.785275
553.19595747,359.714661,0.783081
553.19611232,2.501277,2.284879
553.19615397,3.250797,212.175308
553.19626247,5.203329,3.277792
553.19631156,6.086737,27.450499
553.19646721,8.887764,20.185297
553.19650125,9.500338,84.245827
553.19662882,11.796046,1.077191
553.19669331,12.956588,36.078114
553.19686812,16.102413,148.163376
553.19703682,19.138285,11.907139
553.19710235,20.317541,17.387613
553.19719983,22.07176,9.444974
553.19731582,24.159079,8.63022
553.19734876,24.751858,56.832016
553.19745666,26.69359,25.818279
553.19765212,30.211027,164.245804
553.19803746,37.145481,24.755177
553.19816112,39.370831,151.393585
553.19822918,40.595615,2.198995
553.19843511,44.301464,93.648827
553.19859211,47.126789,1.033051
553.19862508,47.720104,54.357998
553.19881703,51.174377,97.084198
553.19895781,53.707809,5.518624
553.19901621,54.758755,66.234932
553.19912116,56.647404,11.081415
553.19936825,61.093956,6.633598
553.19952115,63.845493,4.615794
553.19953381,64.073318,6.085269
553.19964217,66.023331,142.536789
553.19984601,69.691574,3.892238
553.20017057,75.532249,16.037148
553.20046028,80.745781,7.206017
553.2005051,81.552345,87.737961
553.20090685,88.782112,55.225613
553.20555187,172.372406,-12.916426
553.20574277,175.807785,-16.343224
553.205892,178.493286,-88.513245
553.20593547,179.275558,-85.571594
553.2061799,183.67424,-22.068827
553.20624877,184.913605,-46.360119
553.20628402,185.547943,-50.921986
553.20641908,187.978439,-79.548126
553.20665601,192.242157,-41.302067
553.20673977,193.749481,-76.173775
553.20682757,195.329498,-93.619102
553.20701377,198.680298,-47.665737
553.20714941,201.121231,-30.376434
553.20732353,204.254639,-68.333038
553.20756861,208.665024,-147.113388
553.20770466,211.113327,-2.266492
553.20773311,211.625305,-26.581142
553.20774362,211.814438,-51.676304
553.20787376,214.156403,-51.946117
553.20807958,217.860275,-37.923958
553.20815657,219.245758,-10.192378
553.20831246,222.051102,-140.400757
553.20846297,224.759644,-13.735122
553.20848095,225.083206,-47.418358
553.20865075,228.13887,-90.160049
553.20884491,231.632904,-96.336861
553.20903738,235.096542,-52.907902
553.20910712,236.351563,-21.423418
553.20925136,238.94725,-9.587565
553.20937985,241.259521,-78.843964
553.20961183,245.434158,-9.080056
553.20964377,246.008942,-32.943996
553.20973545,247.658783,-46.605312
553.21009631,254.15271,-26.604967
553.21032775,258.317627,-138.509659
553.21084308,267.591339,-5.649579
553.21100767,270.553253,-26.659374
553.21567433,354.532959,15.991373
553.21603226,0.974182,111.321861
553.21620882,4.151489,46.551636
553.21638356,7.296051,2.807205
553.21642551,8.050964,82.563866
553.21654642,10.226837,2.2268
