time[s],angle[deg],amplitude[mV]
46.95602023,36.85733,8.734886
46.95629146,41.73938,1.688093
46.95635262,42.84024,70.224457
46.95645227,44.633911,14.691534
46.95648822,45.280975,62.194496
46.95666342,48.43454,99.524872
46.95671977,49.448822,9.928861
46.95697916,54.117737,123.188652
46.95706213,55.611176,20.906979
46.95729681,59.835327,5.480563
46.95734255,60.65863,49.527416
46.95740336,61.753204,3.225183
46.95746096,62.789978,12.793626
46.9575205,63.861664,5.450907
46.95759832,65.262421,101.347427
46.95778681,68.655151,10.453342
46.95785036,69.799042,1.877526
46.95815936,75.360931,3.89934
46.95836372,79.039337,83.673386
46.95909372,92.179108,4.152254
46.96368151,174.757751,-89.306114
46.96376166,176.200424,-9.643285
46.96403827,181.179306,-33.195324
46.96411896,182.631699,-20.779806
46.9641543,183.267807,-61.929947
46.96427421,185.426147,-15.332528
46.9643101,186.072159,-89.836594
46.9644495,188.581314,-24.113983
46.96454826,190.358948,-43.11237
46.96460891,191.450638,-32.365639
46.9648307,195.44278,-97.107437
46.96495573,197.693268,-47.210011
46.96508931,200.097672,-23.364531
46.96523217,202.669098,-65.63488
46.96541818,206.017212,-81.323242
46.9655343,208.10733,-77.509773
46.96560071,209.302689,-5.941801
46.9658243,213.32724,-32.641621
46.96592715,215.178497,-39.331306
46.96601766,216.807648,-22.388527
46.96609295,218.162842,-112.741104
46.96621138,220.29454,-3.303848
46.96631513,222.162003,-74.563637
46.9664934,225.370804,-11.49541
46.9666762,228.661148,-31.487867
46.96674492,229.898087,-54.401154
46.96684726,231.740173,-60.308411
46.96708388,235.999237,-47.375004
46.96725008,238.990784,-25.856283
46.96746638,242.884125,-61.364754
46.96757582,244.854004,-65.683067
46.96800391,252.559479,-43.411545
46.96848968,261.303162,-46.545578
46.97392376,359.114746,97.271317
46.97424198,4.842601,1.620349
46.97429832,5.856702,266.328217
46.97454676,10.328537,12.39676
46.97459672,11.2278,13.270255
46.97476548,14.265423,78.271393
46.97494236,17.449202,21.223339
46.97509562,20.20783,8.09109
46.97510802,20.431025,124.467621
46.97532218,24.285831,34.141514
46.97538381,25.395151,37.901398
46.97544026,26.411232,1.182767
46.97555487,28.474173,137.106598
46.97576705,32.293339,58.689728
46.97590706,34.813473,29.274355
46.97607342,37.807896,83.376976
46.97617593,39.653042,7.049633
46.97632407,42.319511,7.379736
46.9763602,42.969837,33.072033
46.97661595,47.57325,121.249191
46.9768197,51.240681,16.608919
46.97693103,53.244583,91.443565
46.97717273,57.5951,48.72316
46.97723878,58.783978,35.252628
46.9772925,59.750919,9.722557
46.97744136,62.430347,73.413925
46.97774536,67.902245,61.898052
46.97792197,71.081161,10.064002
46.97831421,78.14135,2.552932
46.97851315,81.722198,9.889722
46.97862083,83.660408,91.726234
46.97878456,86.607491,11.05232
46.98381993,177.242432,-36.920589
46.98394376,179.471329,-54.420731
46.98403508,181.115051,-34.227108
46.9841247,182.72818,-60.341045
46.98422935,184.611847,-99.816673
46.98452836,189.993927,-93.431534
46.98467746,192.677673,-54.992462
46.9847736,194.408157,-89.072151
46.98501085,198.678589,-30.721189
46.98509443,200.182999,-92.53701
46.98521952,202.43457,-42.887184
46.98534471,204.687943,-30.227373
46.98548196,207.158401,-23.776056
46.98560695,209.408173,-25.112055
46.98566831,210.512634,-115.989716
46.98574662,211.922195,-17.988096
46.98578671,212.643799,-22.142212
46.98595263,215.630295,-30.813917
46.98596805,215.907852,-42.600723
46.98609101,218.121094,-38.704952
46.9862323,220.664261,-54.983692
46.98627833,221.492783,-20.537064
46.98630458,221.965286,-35.53104
46.98639675,223.624313,-1.767791
46.9864329,224.274994,-10.382813
46.98654805,226.347656,-85.540703
46.98666158,228.391159,-62.490501
46.9868228,231.29306,-6.172194
46.98689056,232.512726,-13.956847
46.98694468,233.486862,-102.571854
46.98704401,235.274765,-129.160492
46.98715833,237.332489,-38.060349
46.98736351,241.025665,-14.546567
46.98738542,241.420029,-36.698685
46.98752745,243.976517,-43.914047
46.98766926,246.529053,-5.244807
46.98772971,247.617126,-72.200211
46.9881676,255.499008,-36.060265
46.98839632,259.615875,-18.269058
46.98843492,260.310669,-24.7367
46.99366943,354.53006,9.137069
46.99373431,355.697876,17.168875
46.99411506,2.551239,8.382459
46.99415758,3.316589,307.549255
46.994211,4.278137,2.319384
46.99438442,7.399628,42.277744
46.9945514,10.405212,0.185339
46.99455422,10.455994,2.909446
